2022/06/23 21:34:32 [error] 23576#17224: *4307 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/fight-club-204x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4308 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/ironman-2-203x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4309 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/featured-image-vertical-155x300.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4310 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/featured-image-horizontal-300x155.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4311 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/12/unicorn-wallpaper-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4312 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/12/triforce-wallpaper-300x188.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4313 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-580x300-1-300x155.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4314 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-1200x4002-1-300x100.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4316 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-300x200-1-150x150.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4315 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/image-alignment-150x150-1-150x150.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4317 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2013/03/soworthloving-wallpaper-300x188.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4318 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/07/manhattansummer-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4319 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/06/dsc20050604_133440_34211-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4320 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2012/06/dsc20040724_152504_532-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4321 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_8399-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4322 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0767-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4323 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0747-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4324 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/img_0513-1-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4325 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/windmill-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4326 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/michelle_049-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4327 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dscn3316-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4328 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_173257_119-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4329 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc02085-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4330 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20051220_160808_102-300x200.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4331 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc20050102_192118_51-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4332 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc09114-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
2022/06/23 21:34:32 [error] 23576#17224: *4333 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2011/07/dsc04563-300x225.jpg HTTP/1.0", upstream: "fastcgi://php", host: "softsolutions.local", referrer: "http://softsolutions.local/wp-admin/post-new.php"
